image,catalogue_id,proposed_name,brand,category,subcategory,pack_size,price_bzd_seen_on_shelf,price_status,pharmacist_review,prescription_only,name_needs_confirming,ocr_suggested_name,extra_views,CONFIRM_name,CONFIRM_brand,CONFIRM_price,CONFIRM_in_stock,CONFIRM_prescription,CONFIRM_publish_image,notes
cosmic-product-045,cp-042,Elasticated Hand and Wrist Support,Protek,mobility-daily-living,Braces and supports,Size L,,confirm-price,,,,3 TUA,,,,,,,,
cosmic-product-046,cp-043,Hinged Knee Brace,Coretech,mobility-daily-living,Braces and supports,,,confirm-price,,,,use,,,,,,,,
cosmic-product-047,cp-044,Wrist Support,Xiaole,mobility-daily-living,Braces and supports,Size XL,,confirm-price,,,,compression to help stabilize,,,,,,,,
cosmic-product-048,cp-045,Shoulder Brace,Vive,mobility-daily-living,Braces and supports,,,confirm-price,,,,stability,,,,,,,,
cosmic-product-049,cp-046,Arthritis Compression Gloves,SuperBand,mobility-daily-living,Braces and supports,Size L,,confirm-price,,,,"sore, or recovering hands",,,,,,,,
cosmic-product-050,cp-047,Thumb Brace,Vive,mobility-daily-living,Braces and supports,,,confirm-price,,,,A rH,,,,,,,,
cosmic-product-051,cp-048,Icy Hot Pain Relief Cream,Icy Hot,otc-medicine,Pain relief,,,confirm-price,,,,Pe hold you back,,,,,,,,
cosmic-product-052,cp-049,Lidocaine 4% Maximum Strength Pain Relief Patch,Coralite,otc-medicine,Pain relief,,,confirm-price,,,,muscle and joint pain,,,,,,,,
cosmic-product-053,cp-050,Palm Support,Xiaole,mobility-daily-living,Braces and supports,Size XL,,confirm-price,,,,compression to help reduce,,,,,,,,
cosmic-product-054,cp-051,Caribe Balsam Pain Relieving Cream,Caribe Balsam,otc-medicine,Pain relief,,,confirm-price,,,,"backaches, ro and joint",,,,,,,,
cosmic-product-055,cp-052,Cofal Fuerte Topical Analgesic,Cofal,otc-medicine,Pain relief,60 g,,confirm-price,,,,a Pa,,,,,,,,
cosmic-product-056,cp-053,Pain Relief Balm Ultra Strength,Coralite,otc-medicine,Pain relief,0.63 oz (18 g),,confirm-price,,,,BALM,,,,,,,,
cosmic-product-057,cp-054,Bengay Ultra Strength Pain Relieving Cream,Bengay,otc-medicine,Pain relief,,,confirm-price,,,,Biss joints. a,,,,,,,,
cosmic-product-058,cp-055,Pain Relief Ice Pack,Thera Plus,first-aid,Heat and cold therapy,,,confirm-price,,,,2 injuries,,,,,,,,
cosmic-product-059,cp-056,Elbow Support,Aocheng,mobility-daily-living,Braces and supports,,,confirm-price,,,,compression to help reduce,,,,,,,,
cosmic-product-060,cp-057,Soothing Heat Spray,Healthpoint,otc-medicine,Pain relief,,,confirm-price,,,,SPRAY Ff,,,,,,,,
cosmic-product-061,cp-058,Lidocaine Pain Relief Gel Patches,We Care,otc-medicine,Pain relief,,,confirm-price,,,,Pain Relief Gel Patches,,,,,,,,
cosmic-product-062,cp-059,Theraputic Blue Ice Topical Analgesic Gel,Health Smart,otc-medicine,Pain relief,,,confirm-price,,,,Wii help you recover,,,,,,,,
cosmic-product-064,cp-060,Red Heat Spray Fast Relief,Red Heat,otc-medicine,Pain relief,,,confirm-price,,,,SPRAY,,,,,,,,
cosmic-product-065,cp-061,Gripe Water,Woodward's,mother-baby,Infant digestive care,,,confirm-price,yes,,,Ns wOODWARD Gs,,,,,,,,
cosmic-product-066,cp-062,Pamedan Dexpanthenol Cream 5%,Pamedan,mother-baby,Nappy and skin care,,,confirm-price,,,,"irritation, redness, and chafing",,,,,,,,
cosmic-product-067,cp-063,Sedalgina Gotas Oral Solution,Baby-Bon,mother-baby,Infant digestive care,15 mL,,confirm-price,yes,,,SOAUCON ORAL,,,,,,,,
cosmic-product-068,cp-064,Lactomat Breastfeeding Support Capsules,Farmaline,womens-wellness,Maternity support,30 capsules,,confirm-price,yes,,,lepre ents traditionally used,,,,,,,,
cosmic-product-069,cp-065,Tearless Baby Shampoo,dynaCare,mother-baby,Baby bath and skin,,,confirm-price,,,,Wi Care Lie Farnny,,,,,,,,
cosmic-product-070,cp-066,Ovol Infant Colic Relief Drops,Ovol,mother-baby,Infant digestive care,15 mL,,confirm-price,yes,,,DROPS + GOUTTES,,,,,,,,
cosmic-product-072,cp-067,Wellbaby Vitamin D3 Drops,Vitabiotics Wellbaby,mother-baby,Infant supplements,,,confirm-price,,,,Vit D Drops,,,,,,,,
cosmic-product-073,cp-068,BioGaia Protectis Baby Drops,BioGaia,mother-baby,Infant digestive care,5 mL,,confirm-price,,,,WORTAINS PrODIOUICS Uldat Meip,,,,,,,,
cosmic-product-074,cp-069,Infants' Tylenol Oral Suspension,Tylenol,mother-baby,Infant pain and fever,160 mg per 5 mL,,confirm-price,yes,,,JYLENOL,,,,,,,,
cosmic-product-075,cp-070,Baby Chest Rub Nighttime,Genethics,mother-baby,Baby bath and skin,28 g,,confirm-price,,,,a a gentle formula,,,,,,,,
cosmic-product-076,cp-071,GyneGest Prenatal Soft Gelatin Capsules,GyneGest,womens-wellness,Maternity support,30 capsules,,confirm-price,yes,,,Ze SS,,,,,,,,
cosmic-product-077,cp-072,Pregnacare Liquid,Vitabiotics Pregnacare,womens-wellness,Maternity support,,,confirm-price,yes,,,fregnac are ',,,,,,,,
cosmic-product-078,cp-073,Breast Milk Storage Bags,Parent's Choice,mother-baby,Breastfeeding,,,confirm-price,,,,4 Double zipper seal a,,,,,,,,
cosmic-product-080,cp-074,Baby Nasal Aspirator,,mother-baby,Infant nasal care,,,confirm-price,,,,b SaD Nac,,,,,,,,
cosmic-product-081,cp-075,Fresh Food Feeder Pacifier,BabyAid,mother-baby,Feeding,,,confirm-price,,,,love,,,,,,,,
cosmic-product-082,cp-076,Manual Breast Pump,,mother-baby,Breastfeeding,,,confirm-price,,,yes,Makes expressing milk easier,,,,,,,,
cosmic-product-083,cp-077,Fisiolix Nasal Saline Solution 0.9%,Fisiolix,mother-baby,Infant nasal care,,,confirm-price,,,,keep little noses a,,,,,,,,
cosmic-product-084,cp-078,Baby Soother Pacifier,,mother-baby,Feeding,,,confirm-price,,,,ZAM Is a,,,,,,,,
cosmic-product-085,cp-079,Vicks BabyRub Soothing Ointment,Vicks,mother-baby,Baby bath and skin,1.76 oz,,confirm-price,,,,CS Mi,,,,,,,,
cosmic-product-086,cp-080,Silicone Breast Milk Collector,,mother-baby,Breastfeeding,,,confirm-price,,,yes,if Ge,,,,,,,,
cosmic-product-087,cp-081,Snack Keeper Cup,Nuby,mother-baby,Feeding,,,confirm-price,,,,THAD INUBYy,,,,,,,,
cosmic-product-088,cp-082,Four Piece Silicone Meal Set,Lila & Jack,mother-baby,Feeding,4 piece,,confirm-price,,,,"Includes bib, plate, spoon &",,,,,,,,
cosmic-product-089,cp-083,Travel System Weather Shield,,mother-baby,Travel,,,confirm-price,,,,4 WEATHER SHIELD,,,,,,,,
cosmic-product-090,cp-084,Nibbler Fresh Food Feeder,Nuby,mother-baby,Feeding,,,confirm-price,,,,fruits and veggies,,,,,,,,
cosmic-product-091,cp-085,Desitin Diaper Rash Paste and Cream,Desitin,mother-baby,Nappy and skin care,,,confirm-price,,,yes,before it starts. 7,,,,,,,,
cosmic-product-092,cp-086,Vitamins A and D Ointment,We Care,mother-baby,Nappy and skin care,,,confirm-price,,,,en enn,,,,,,,,
cosmic-product-093,cp-087,Forehead Thermometer Strip,,mother-baby,Infant health monitoring,,,confirm-price,,,,temperature in seconds,,,,,,,,
cosmic-product-094,cp-088,Fresh Aloe Body Lotion,Dermasil Labs,skin-hair-beauty,Body lotions,8 fl oz (236 mL),,confirm-price,,,,FRESH,,,,,,,,
cosmic-product-095,cp-089,Oatmeal Skin Relief Moisturising Lotion,Nubalance,skin-hair-beauty,Body lotions,,,confirm-price,,,,oe es a,,,,,,,,
cosmic-product-096,cp-090,Dry Skin Treatment Body Lotion,Dermasil Labs,skin-hair-beauty,Body lotions,8 fl oz (236 mL),,confirm-price,,,,TREATMENT,,,,,,,,
cosmic-product-097,cp-091,Diabetics' Dry Skin Relief Body Lotion,XtraCare,skin-hair-beauty,Body lotions,,,confirm-price,,,,Sensitive Shin Care,,,,,,,,
cosmic-product-098,cp-092,Blue Seal Aloe Fresh Petroleum Jelly,Vaseline,skin-hair-beauty,Petroleum jelly,,,confirm-price,,,,BLUESEA,,,,,,,,
cosmic-product-099,cp-093,Blue Seal Cocoa Butter Petroleum Jelly,Vaseline,skin-hair-beauty,Petroleum jelly,,,confirm-price,,,,bap),,,,,,,,
cosmic-product-100,cp-094,Lipikar AP+ Gentle Foaming Moisturising Wash,La Roche-Posay,skin-hair-beauty,Cleansers,,,confirm-price,,,,A LAROCHE-POSAY,,,,,,,,
cosmic-product-101,cp-095,Ice Cool Hydration Body Lotion,Vaseline,skin-hair-beauty,Body lotions,,,confirm-price,,,,,,,,,,,,
cosmic-product-102,cp-096,Blue Seal Baby Gentle Protective Jelly,Vaseline,mother-baby,Baby bath and skin,,,confirm-price,,,,Lee,,,,,,,,
cosmic-product-103,cp-097,Ammonium Lactate 12% Moisturising Lotion,Major,skin-hair-beauty,Body lotions,,,confirm-price,yes,,,"tal , YbMAJOR ' 28",,,,,,,,
cosmic-product-104,cp-098,Dark Spot Therapeutic Cream,Advanced Clinicals,skin-hair-beauty,Targeted treatments,,,confirm-price,,,,Vitamin c hrightenc id,,,,,,,,
cosmic-product-105,cp-099,"Medicated Body Powder, Talc-Free",Health Smart,personal-care,Body powders,,,confirm-price,,,,CL Bis Pics to,,,,,,,,
cosmic-product-106,cp-100,Lipikar AP+ Triple Repair Moisturising Cream,La Roche-Posay,skin-hair-beauty,Body lotions,,,confirm-price,,,,PRIPLE REPAIR,,,,,,,,
cosmic-product-107,cp-101,Aloe Vera Gel with Vitamin E,,skin-hair-beauty,Targeted treatments,,,confirm-price,,,,cop vitamina,,,,,,,,
cosmic-product-108,cp-102,Cocoa Butter Body Lotion,Dermasil Labs,skin-hair-beauty,Body lotions,8 fl oz (236 mL),,confirm-price,,,,COCOA,,,,,,,,
cosmic-product-109,cp-103,Blue Seal Original Petroleum Jelly,Vaseline,skin-hair-beauty,Petroleum jelly,,,confirm-price,,,,,,,,,,,,
cosmic-product-110,cp-104,Aloe After Sun Gel,Lucky Sea'n Sun,skin-hair-beauty,Sun care,,,confirm-price,,,,OiM,,,,,,,,
cosmic-product-111,cp-105,White Petrolatum Skin Protectant,,first-aid,Skin protectants,,,confirm-price,,,,SKIN DRearecTANT,,,,,,,,
cosmic-product-112,cp-106,Blue Seal Vitamin E Nourishing Jelly,Vaseline,skin-hair-beauty,Petroleum jelly,,,confirm-price,,,,rer s,,,,,,,,
cosmic-product-113,cp-107,Top C Vitamin C 5% Cream,Caneham,skin-hair-beauty,Targeted treatments,,,confirm-price,,,,Vitaming C53,,,,,,,,
cosmic-product-114,cp-108,Glowing Vitamin C Eye Cream,Global Beauty Care,skin-hair-beauty,Eye care,,,confirm-price,,,,' VITAMIN,,,,,,,,
cosmic-product-115,cp-109,Multi-Vitamin Facial Serum,Global Beauty Care,skin-hair-beauty,Serums,,,confirm-price,,,,Ee nny,,,,,,,,
cosmic-product-116,cp-110,Alpha Arbutin 2% + Hyaluronic Acid Serum,The Ordinary,skin-hair-beauty,Serums,,,confirm-price,,,,PUIG UNCVEH SAT CONS,,,,,,,,
cosmic-product-117,cp-111,Niacinamide 5% + Squalane Serum,Skin Nutrition Botanicals,skin-hair-beauty,Serums,,,confirm-price,,,,BE Minimize excess ol,,,,,,,,
cosmic-product-118,cp-112,Original Strength Acne Gel,,skin-hair-beauty,Targeted treatments,,,confirm-price,,,,Fights stubborn breakouts and,,,,,,,,
cosmic-product-119,cp-113,Glowing Vitamin C Facial Cleanser,Global Beauty Care,skin-hair-beauty,Cleansers,2.5 fl oz (74 mL),,confirm-price,,,,A VITAMIN C,,,,,,,,
cosmic-product-120,cp-114,Beach Defense Sunscreen Lotion SPF 70,Neutrogena,skin-hair-beauty,Sun care,,,confirm-price,,,,TESIStanice,,,,,,,,
cosmic-product-121,cp-115,Toleriane Hydrating Gentle Cleanser,La Roche-Posay,skin-hair-beauty,Cleansers,,,confirm-price,,,,A B,,,,,,,,
cosmic-product-122,cp-116,Calming Nighttime Recovery Facial Serum,Global Beauty Care,skin-hair-beauty,Serums,,,confirm-price,,,,CALMING,,,,,,,,
cosmic-product-123,cp-117,Blemish and Dark Spot Treatment Cream Gel,Global Beauty Care,skin-hair-beauty,Targeted treatments,,,confirm-price,,,,CREAM of,,,,,,,,
cosmic-product-124,cp-118,Power Toner with AHA-BHA and Tea Tree,Global Beauty Care,skin-hair-beauty,Toners,,,confirm-price,,,,Law FRE,,,,,,,,
cosmic-product-125,cp-119,Madagascar Centella Hyalu-Cica Water-Fit Sun Serum,SKIN1004,skin-hair-beauty,Sun care,,,confirm-price,,,,CENTELLA,,,,,,,,
cosmic-product-126,cp-120,Retinol Skin Cream Anti-Aging,Global Beauty Care,skin-hair-beauty,Targeted treatments,1.7 oz (50 mL),,confirm-price,,,,ia SKIN CREAM,,,,,,,,
cosmic-product-127,cp-121,"Tea Tree, Caffeine and B5 Revive Serum Mask",Skin Nutrition Botanicals,skin-hair-beauty,Serums,,,confirm-price,,,,4 Controls excess oil,,,,,,,,
cosmic-product-128,cp-122,Multi-Peptide Anti-Aging Serum,Skin Nutrition Botanicals,skin-hair-beauty,Serums,,,confirm-price,,,,nes and WINnkics,,,,,,,,
cosmic-product-129,cp-123,Cicaplast Balm B5 Multi-Purpose,La Roche-Posay,skin-hair-beauty,Targeted treatments,40 mL (1.35 fl oz),,confirm-price,,,,barrier,,,,,,,,
cosmic-product-130,cp-124,Tea Tree Oil and Salicylic Acid Balancing Face Wash,Skin Nutrition Botanicals,skin-hair-beauty,Cleansers,,,confirm-price,,,,Tree Oil + Salicyse,,,,,,,,
cosmic-product-131,cp-125,Bonjela Mouth Ulcer Gel,Bonjela,otc-medicine,Mouth and throat,,,confirm-price,yes,,,one a eee,,,,,,,,
cosmic-product-132,cp-126,Mint Waxed Dental Floss,,personal-care,Oral care,,,confirm-price,,,yes,ssp hag,,,,,,,,
cosmic-product-133,cp-127,"Oral Pain Relief Gel, 20% Benzocaine",Sheffield,otc-medicine,Mouth and throat,,,confirm-price,yes,,,Pame FOR FAST,,,,,,,,
cosmic-product-134,cp-128,Cool Mint Antiseptic Mouthwash,Listerine,personal-care,Oral care,,,confirm-price,,,,nA COOL MINT VAj4,,,,,,,,
cosmic-product-135,cp-129,Mint Dental Flossers,,personal-care,Oral care,,,confirm-price,,,yes,Cin,,,,,,,,
cosmic-product-136,cp-130,"Antiseptic Mouthwash, Peppermint",Care+,personal-care,Oral care,,,confirm-price,,,,if LAIH,,,,,,,,
cosmic-product-137,cp-131,Whitening Gel Pen,GuruNanda,personal-care,Oral care,,,confirm-price,,,,Wy bes,,,,,,,,
cosmic-product-138,cp-132,Dentinox Teething Gel,Dentinox,mother-baby,Teething,,,confirm-price,yes,,,H oN,,,,,,,,
cosmic-product-139,cp-133,Toddler Dental Kit and Children's Toothbrushes,,mother-baby,Oral care,,,confirm-price,,,yes,Pay,,,,,,,,
cosmic-product-140,cp-134,Children's Character Toothbrushes,,mother-baby,Oral care,,,confirm-price,,,yes,re JMIDIGIM,,,,,,,,
cosmic-product-141,cp-135,Ultimate Oral Care Kit,Dr. Fresh,personal-care,Oral care,,,confirm-price,,,,z a,,,,,,,,
cosmic-product-142,cp-136,Oddent Gingival Gel,Oddent,otc-medicine,Mouth and throat,25 mL,,confirm-price,yes,,,a MIDI,,,,,,,,
cosmic-product-143,cp-137,Fixodent Complete Original Denture Adhesive Cream,Fixodent,mobility-daily-living,Denture care,,,confirm-price,,,,od u,,,,,,,,
cosmic-product-144,cp-138,Oral Care On The Go Travel Kit,Colgate,personal-care,Oral care,,,confirm-price,,,,3 Gey am,,,,,,,,
cosmic-product-146,cp-139,"Postnatal Fenugreek 2,000 mg",Nature's Truth,womens-wellness,Maternity support,100 quick release capsules,,confirm-price,yes,,,4 TH STR j,cosmic-product-235,,,,,,,
cosmic-product-147,cp-140,Campylon Forte with Lysine,Vijosa,vitamins-supplements,B vitamins,,,confirm-price,,,,,,,,,,,,
cosmic-product-148,cp-141,Cleansing Cranberry Gummies,Nature's Truth,womens-wellness,Urinary health,60 gummies,,confirm-price,,,,CLEANSING,,,,,,,,
cosmic-product-149,cp-142,Urinary Tract Health Cranberry Complex,Nature's Truth,womens-wellness,Urinary health,60 quick release capsules,,confirm-price,,,,URINARY TRACT,,,,,,,,
cosmic-product-150,cp-143,Chanca Piedra 500 mg,Piping Rock,vitamins-supplements,Herbal supplements,120 capsules,,confirm-price,,,,aoe PIEt,,,,,,,,
cosmic-product-151,cp-144,Maximum Strength Urinary Pain Relief,Quality Choice,womens-wellness,Urinary health,12 tablets,,confirm-price,yes,,,vad,,,,,,,,
cosmic-product-152,cp-145,"Triple Strength Cranberry Concentrate 30,000 mg",Nature's Truth,womens-wellness,Urinary health,90 quick release capsules,,confirm-price,,,,VITAMIN C,cosmic-product-230,,,,,,,
cosmic-product-153,cp-146,Big Complex Yummi Children's Supplement,cmd,vitamins-supplements,Children's supplements,240 mL,10,demo-only,,,,BIG,,,,,,,,
cosmic-product-154,cp-147,Neoradish Iodized Radish Syrup,Neoradish,vitamins-supplements,Tonics and syrups,120 mL (4.05 fl oz),8,demo-only,,,,NEORADISH,cosmic-product-236,,,,,,,
cosmic-product-156,cp-148,First Aid Kit Box,,first-aid,First aid kits,,,confirm-price,,,yes,,cosmic-product-157,,,,,,,
cosmic-product-169,cp-149,Melatonin Magnesium Maximum Strength 10/150 mg,Webber Naturals,vitamins-supplements,Sleep support,60 tablets,,confirm-price,yes,,,Magnesium,,,,,,,,
cosmic-product-171,cp-150,Rabano Alcachofa Liver Support,Farmaline,vitamins-supplements,Herbal supplements,,,confirm-price,,,,Santa Fe Syrup ),,,,,,,,
cosmic-product-172,cp-151,Power for Men Testosterone Support,Jamieson,vitamins-supplements,Men's health,,,confirm-price,yes,,,POWER bd,,,,,,,,
cosmic-product-173,cp-152,Calcium Citrate Maximum plus D3,21st Century,vitamins-supplements,Minerals,120 tablets,,confirm-price,,,,+4 WwW Tao TABLETS,,,,,,,,
cosmic-product-175,cp-153,CoQ-10 with Hawthorn Berries 200 mg,Solaray,vitamins-supplements,Heart health,,,confirm-price,,,,Fl Solaray RiSolamy S,cosmic-product-205,,,,,,,
cosmic-product-176,cp-154,Magnesium Glycinate 350 mg,Solaray,vitamins-supplements,Minerals,,,confirm-price,,,,MAGNESIUM ) Magnesium,,,,,,,,
cosmic-product-177,cp-155,"Vitamin K2 + D3, 120 mcg / 1000 IU",Webber Naturals,vitamins-supplements,Vitamins,30 softgels,,confirm-price,,,,CL eT,,,,,,,,
cosmic-product-179,cp-156,Wellteen Him,Vitabiotics,vitamins-supplements,Teen health,,20,demo-only,,,,WE EE,,,,,,,,
cosmic-product-180,cp-157,Wellman Sport,Vitabiotics,vitamins-supplements,Men's health,,,confirm-price,,,,vitamin can provide,cosmic-product-251,,,,,,,
cosmic-product-181,cp-158,Wellman Original,Vitabiotics,vitamins-supplements,Men's health,,,confirm-price,,,,vitamin that addresses basic,cosmic-product-284,,,,,,,
cosmic-product-183,cp-159,"Maca 1,600 mg",Nature's Truth,vitamins-supplements,Herbal supplements,60 quick release capsules,,confirm-price,,,,PATURE S Thy,cosmic-product-278,,,,,,,
cosmic-product-184,cp-160,ABC Complete Men's Multivitamin,Sundance,vitamins-supplements,Multivitamins,60 coated caplets,,confirm-price,,,,1 MINERAL,cosmic-product-254,,,,,,,
cosmic-product-185,cp-161,Tres Toros Vino Vitaminado,Tres Toros,vitamins-supplements,Tonics and syrups,,,confirm-price,yes,,,Bebe NOTE RTO d 4,,,,,,,,
cosmic-product-186,cp-162,Perfect7 Man Plus,Seven Seas,vitamins-supplements,Men's health,30 day duo pack,,confirm-price,,,,S D DAY,cosmic-product-252,,,,,,,
cosmic-product-187,cp-163,Flow Guard Saw Palmetto 450 mg,Puritan's Pride,vitamins-supplements,Men's health,100 capsules,12,demo-only,yes,,,Pry Z,cosmic-product-200,,,,,,,
cosmic-product-188,cp-164,Super Concentrated Ashwagandha 920 mg,Sundance,vitamins-supplements,Herbal supplements,60 quick release capsules,,confirm-price,,,,SHWAGANOW a,,,,,,,,
cosmic-product-189,cp-165,Zinc 50 mg,Nature's Bounty,vitamins-supplements,Minerals,,,confirm-price,,,,1 ZINC BRANG,cosmic-product-285,,,,,,,
cosmic-product-190,cp-166,Yohimbe Extract,Puritan's Pride,vitamins-supplements,Men's health,50 capsules,,confirm-price,yes,,,Male Perfomance Formula,cosmic-product-274,,,,,,,
cosmic-product-192,cp-167,Afrin Nasal Decongestant Spray,Afrin,otc-medicine,"Cold, flu and sinus",,,confirm-price,yes,,,Steves stuffy Nose,,,,,,,,
